BILLIE EILISH,22:15,23:45,FRIDAY,PYRAMID STAGE
SAM FENDER,20:15,21:15,FRIDAY,PYRAMID STAGE
ROBERT PLANT & ALISON KRAUSS,18:15,19:30,FRIDAY,PYRAMID STAGE
WOLF ALICE,16:45,17:45,FRIDAY,PYRAMID STAGE
CROWDED HOUSE,15:15,16:15,FRIDAY,PYRAMID STAGE
RUFUS WAINWRIGHT,13:45,14:45,FRIDAY,PYRAMID STAGE
ZIGGY MARLEY,12:15,13:15,FRIDAY,PYRAMID STAGE
PAUL MCCARTNEY,21:30,23:45,SATURDAY,PYRAMID STAGE
NOEL GALLAGHER'S HIGH FLYING BIRDS,19:15,20:30,SATURDAY,PYRAMID STAGE
HAIM,17:30,18:30,SATURDAY,PYRAMID STAGE
AJ TRACEY,16:00,16:45,SATURDAY,PYRAMID STAGE
EASY LIFE,14:30,15:30,SATURDAY,PYRAMID STAGE
JOY CROOKES,13:15,14:00,SATURDAY,PYRAMID STAGE
LES AMAZONES D'AFRIQUE,12:00,12:45,SATURDAY,PYRAMID STAGE
KENDRICK LAMAR,21:45,23:15,SUNDAY,PYRAMID STAGE
LORDE,19:30,20:45,SUNDAY,PYRAMID STAGE
ELBOW,17:45,18:45,SUNDAY,PYRAMID STAGE
DIANA ROSS,16:00,17:15,SUNDAY,PYRAMID STAGE
HERBIE HANCOCK,14:00,15:00,SUNDAY,PYRAMID STAGE
DAKHABRAKHA,12:45,13:30,SUNDAY,PYRAMID STAGE
BLACK DYKE BAND,11:30,12:15,SUNDAY,PYRAMID STAGE
FOALS,22:30,23:45,FRIDAY,OTHER STAGE
ST. VINCENT,20:30,21:30,FRIDAY,OTHER STAGE
IDLES,18:45,19:45,FRIDAY,OTHER STAGE
SUPERGRASS,17:15,18:15,FRIDAY,OTHER STAGE
FIRST AID KIT,15:45,16:45,FRIDAY,OTHER STAGE
BLOSSOMS,14:15,15:15,FRIDAY,OTHER STAGE
KAE TEMPEST,13:00,13:45,FRIDAY,OTHER STAGE
THE LIBERTINES,11:30,12:30,FRIDAY,OTHER STAGE
MEGAN THEE STALLION,22:30,23:45,SATURDAY,OTHER STAGE
BURNA BOY,20:30,21:30,SATURDAY,OTHER STAGE
OLIVIA RODRIGO,18:45,19:45,SATURDAY,OTHER STAGE
GLASS ANIMALS,17:15,18:15,SATURDAY,OTHER STAGE
METRONOMY,15:45,16:45,SATURDAY,OTHER STAGE
SKUNK ANANSIE,14:15,15:15,SATURDAY,OTHER STAGE
TEMS,13:00,13:45,SATURDAY,OTHER STAGE
HAK BAKER,11:45,12:30,SATURDAY,OTHER STAGE
PET SHOP BOYS,21:45,23:15,SUNDAY,OTHER STAGE
YEARS & YEARS,19:45,20:45,SUNDAY,OTHER STAGE
KACEY MUSGRAVES,18:00,19:00,SUNDAY,OTHER STAGE
FONTAINES DC,16:30,17:30,SUNDAY,OTHER STAGE
DECLAN MCKENNA,15:00,16:00,SUNDAY,OTHER STAGE
LIANNE LA HAVAS,13:30,14:30,SUNDAY,OTHER STAGE
SEA GIRLS,12:15,13:00,SUNDAY,OTHER STAGE
KOJEY RADICAL,11:00,11:45,SUNDAY,OTHER STAGE
LITTLE SIMZ,22:15,23:45,FRIDAY,WEST HOLTS STAGE
BONOBO,20:30,21:30,FRIDAY,WEST HOLTS STAGE
SEUN KUTI & EGYPT 80,19:00,20:00,FRIDAY,WEST HOLTS STAGE
TLC,17:30,18:30,FRIDAY,WEST HOLTS STAGE
SLEAFORD MODS,16:00,17:00,FRIDAY,WEST HOLTS STAGE
GREENTEA PENG,14:30,15:30,FRIDAY,WEST HOLTS STAGE
AROOJ AFTAB,13:00,14:00,FRIDAY,WEST HOLTS STAGE
NUBIYAN TWIST,11:30,12:30,FRIDAY,WEST HOLTS STAGE
ROISIN MURPHY,22:15,23:45,SATURDAY,WEST HOLTS STAGE
CARIBOU,20:30,21:30,SATURDAY,WEST HOLTS STAGE
LEON BRIDGES,19:00,20:00,SATURDAY,WEST HOLTS STAGE
CELESTE,17:30,18:30,SATURDAY,WEST HOLTS STAGE
YVES TUMOR,16:15,17:00,SATURDAY,WEST HOLTS STAGE
BLACK MIDI,14:45,15:45,SATURDAY,WEST HOLTS STAGE
BRASS AGAINST,13:15,14:15,SATURDAY,WEST HOLTS STAGE
KIKAGAKU MOYO,11:30,12:30,SATURDAY,WEST HOLTS STAGE
BICEP,21:45,23:15,SUNDAY,WEST HOLTS STAGE
ANGELIQUE KIDJO,20:00,21:00,SUNDAY,WEST HOLTS STAGE
KOFFEE,18:30,19:30,SUNDAY,WEST HOLTS STAGE
SNARKY PUPPY,17:00,18:00,SUNDAY,WEST HOLTS STAGE
NUBYA GARCIA,15:30,16:30,SUNDAY,WEST HOLTS STAGE
NIGHTMARES ON WAX,14:00,15:00,SUNDAY,WEST HOLTS STAGE
EMMA-JEAN THACKRAY,12:30,13:30,SUNDAY,WEST HOLTS STAGE
ISHMAEL ENSEMBLE,11:00,12:00,SUNDAY,WEST HOLTS STAGE
PRIMAL SCREAM,22:30,23:45,FRIDAY,JOHN PEEL STAGE
THE JESUS AND MARY CHAIN,21:00,22:00,FRIDAY,JOHN PEEL STAGE
PHOEBE BRIDGERS,19:30,20:30,FRIDAY,JOHN PEEL STAGE
SIGRID,18:00,19:00,FRIDAY,JOHN PEEL STAGE
GIRL IN RED,16:30,17:30,FRIDAY,JOHN PEEL STAGE
INHALER,15:15,16:00,FRIDAY,JOHN PEEL STAGE
GRIFF,14:00,14:45,FRIDAY,JOHN PEEL STAGE
